Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Latvia,European Union,European Union,    Anthem160Dievs svētī LatvijuGod Bless LatviaLocation of160Latvia160dark green–160in Europe160green amp160dark grey–160in the European Union160green160 –160 91Legend93Capitaland largest cityRiga56°57′N 24°6′Exfeff  xfeff56950°N 24100°Exfeff  56950 24100Official160languagesLatvianaEthnic160groups  2019625 Latvians247 Russians32 Belarusians22 Ukrainians19 Poles11 Lithuanians02 Roma02 Jews36 Others16032UnspecifiedReligion 800 Christianity—343 Lutheranism—251 Catholicism—169 Orthodoxy—37 Other Christian183 No religion17 OthersDemonymsLatvianGovernmentUnitary parliamentary constitutional republic•160President Egils Levits•160Prime Minister Krišjānis Kariņš•160Speaker of the Saeima Ināra Mūrniece,P463,Forwards
University of Papua New Guinea,Port Moresby,Port Moresby,The University of Papua New Guinea UPNG is a university located in Port Moresby capital of Papua New Guinea,P131,Forwards
Peter Scott,Robert Falcon Scott,Robert Falcon Scott,The only child of Antarctic explorer Robert Falcon Scott he took an interest in observing and shooting wildfowl at a young age and later took to their breeding,P22,Forwards
Ocean,Indian Ocean,Indian,A common definition lists five oceans in descending order by area the Pacific Atlantic Indian Southern Antarctic and Arctic Oceans,P31,Backwards
Air conditioning,Heating ventilation and air conditioning,heating ventilation and air conditioning HVAC,Air conditioning is a member of a family of systems and techniques that provide heating ventilation and air conditioning HVAC,P527,Backwards
Roe,Caviar,caviar,Roe from a sturgeon or sometimes other fish such as flathead grey mullet is the raw base product from which caviar is made,P186,Backwards
Northern short grasslands,Saskatchewan,Saskatchewan,The Northern short grasslands includes parts of the Canadian provinces of Alberta and Saskatchewan and the American Great Plains states of Montana North Dakota Wyoming South Dakota and Nebraska,P131,Forwards
Rwanda,African Union,African Union,The country is member of the African Union the United Nations the Commonwealth of Nations COMESA OIF and the East African Community,P361,Forwards
Ocean Conservancy,United States,United States,Ocean Conservancy founded as The Delta Corporation is a nonprofit environmental advocacy group based in Washington DC United States,P17,Forwards
Education,Sustainable Development Goal 4,Sustainable Development Goal 4,Global initiatives aim at achieving the Sustainable Development Goal 4 which promotes quality education for all,P921,Backwards
Agenda 21,United Nations,United Nations,Agenda 21 is a nonbinding action plan of the United Nations with regard to sustainable development,P123,Forwards
Troposphere,Stratosphere,stratosphere,Atop the troposphere is the tropopause which is the border between the troposphere and stratosphere,P155,Backwards
Ghana,Ivory Coast,Ivory Coast,It spans along the Gulf of Guinea and the Atlantic Ocean sharing borders with the Ivory Coast in the west Burkina Faso in the north Togo in the east the Gulf of Guinea and the Atlantic Ocean in the south,P47,Forwards
David Thomas geographer,United Kingdom,UK,He was born in Buckland Hospital Dover Kent UK in 1958,P27,Forwards
Climate change adaptation,Climate change mitigation,climate change mitigation,It is one of the ways to respond to climate change along with climate change mitigation,P1889,Backwards
European Union,Latvia,Latvia,   160Latvia,P150,Forwards
Critical load,Air pollution,air pollution,In the study of air pollution a critical load is defined as a quantitative estimate of an exposure to one or more pollutants below which significant harmful effects on specified sensitive elements of the environment do not occur according to present knowledge,P1269,Forwards
European Union,Poland,Poland,   160Poland,P463,Backwards
University of British Columbia,British Columbia,British Columbia,Established in 1908 UBC is British Columbias oldest university,P131,Forwards
GNU General Public License,Richard Stallman,Richard Stallman,The licenses were originally written by Richard Stallman founder of the Free Software Foundation FSF for the GNU Project and grant the recipients of a computer program the rights of the Free Software Definition,P800,Backwards
Chi Chi giant panda,London Zoo,London Zoo,Chi Chi Chinese58 姬姬 pinyin58 Jī Jī September 1954 in wild in Sichuan China – 22 July 1972 London Zoo was a wellknown female giant panda at London Zoo in England,P551,Forwards
World Health Organization,Tedros Adhanom,Tedros Adhanom,World Health OrganizationAbbreviationWHOPronunciationˌdʌbəljuːˌeɪtʃˈoʊ by WHO itself and the governments that work with it huː is an oftenheard spelling pronunciationx20Formation7160April 1948593273 years ago16019480407TypeUnited Nations specialized agencyLegal statusActiveHeadquartersGeneva SwitzerlandHeadTedros AdhanomDirectorGeneralParent organizationUnited Nations Economic and Social CouncilBudget  796 billion 2020–2021Websitewwwwhoint160Medicine32portal160Politics32portal,P108,Backwards
Myanmar,Southeast Asia,Southeast Asia,ˈmjɑːnmɑːrˌ ˌmjɑːnˈmɑːr91nb 193 other English pronunciations below Burmese မြန်မာ mjəmà or Burma Burmese ဗမာ bəmà officially the Republic of the Union of Myanmar91nb 293 is a country in Southeast Asia,P706,Forwards
Anjajavy Forest,Madagascar,Madagascar, Anjajavy Forest has much in common with other dry deciduous forests rising out of the tsingy limestone formations of western Madagascar,P17,Forwards
University of the South Pacific,Tuvalu,Tuvalu,Established in 1968 the university is organised as an intergovernmental organisation and is owned by the governments of 12 Pacific island countries the Cook Islands Fiji Kiribati Marshall Islands Nauru Niue Samoa Solomon Islands Tokelau Tonga Tuvalu and Vanuatu,P17,Forwards
Rio Conchos,Chihuahua state,Chihuahua,The Río Conchos Conchos River is a large river in the Mexican state of Chihuahua,P131,Forwards
Republic of Ireland,United Kingdom,United Kingdom,The sovereign state shares its only land border with Northern Ireland which is part of the United Kingdom,P530,Forwards
Germany,Czech Republic,Czech Republic,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Forwards
Saskatchewan,Manitoba,Manitoba,Saskatchewan is bordered on the west by Alberta on the north by the Northwest Territories on the east by Manitoba to the northeast by Nunavut and on the south by the US states of Montana and North Dakota,P47,Forwards
United Kingdom,Scotland,Scotland,The United Kingdom consists of four countries England Scotland Wales and Northern Ireland,P150,Forwards
Tobacco industry in Malawi,Malawi,Malawi,As of 2005 Malawi was the 12th largest producer of tobacco leaves and the 7th largest global supporter of tobacco leaves,P17,Forwards
Oxford University Press,University of Oxford,University of Oxford,Oxford University Press OUP is the university press of University of Oxford,P138,Forwards
Czech Republic,Austria,Austria,It is bordered by Austria to the south Germany to the west Poland to the northeast and Slovakia to the east,P47,Forwards
BBC,BBC World Service,BBC World Service,Since 1 April 2014 it has also funded the BBC World Service launched in 1932 as the BBC Empire Service which broadcasts in 28 languages and provides comprehensive TV radio and online services in Arabic and Persian,P1830,Forwards
China,Shanghai,Shanghai,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P131,Backwards
International nongovernmental organization,Nongovernmental organization,nongovernmental organization,An international nongovernmental organization INGO extends the concept of a nongovernmental organization NGO to an international scope,P279,Forwards
Germany,Czech Republic,Czech Republic,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Backwards
Ivory Coast,West Africa,West Africa,Ivory Coast also known as Côte dIvoire91a93 officially the Republic of Côte dIvoire is a country located on the south coast of West Africa,P361,Forwards
Mazingira Green Party of Kenya,Kenya,Kenyan,The Mazingira Green Party of Kenya is a Kenyan green party,P17,Forwards
Circular economy,Industrial ecology,industrial ecology,There is also a broad range of similar concepts or schools of thought including cradletocradle laws of ecology looped and performance economy regenerative design industrial ecology biomimicry and the blue economy,P941,Forwards
Jakarta,Indonesia,Indonesia,Jakarta dʒəˈkɑːrtə Indonesian pronunciation160dʒaˈkarta32listen officially the Special Capital Region of Jakarta Indonesian Daerah Khusus Ibukota Jakarta is the capital of Indonesia,P1376,Forwards
Namibia,Angola,Angola,Its western border is the Atlantic Ocean it shares land borders with Zambia and Angola to the north Botswana to the east and South Africa to the south and east,P47,Forwards
Nana AkufoAddo,Ghana,Ghanaian,Nana Addo Dankwa AkufoAddo æˈkʊfoʊ ɑːˈdoʊ32listen aKUUFoh ahDOH born 29 March 1944 is a Ghanaian politician who is the current president of the Republic of Ghana,P27,Forwards
West Coast Environmental Law,Vancouver,Vancouver,West Coast Environmental Law is an environmental law and public advocacy organization based in Vancouver British Columbia Canada,P159,Forwards
County Clare,Republic of Ireland,Ireland,County Clare Irish Contae an Chláir is a county in Ireland in the MidWest Region and the province of Munster bordered on the west by the Atlantic Ocean,P17,Forwards
Uroplatus,Madagascar,Madagascar,Uroplatus is a genus of geckos commonly referred to as leaftail geckos or flattailed geckos which are endemic to Madagascar and its coastal islands such as Nosy Be,P183,Forwards
Anarchist Seeds Beneath the Snow,David Goodway,David Goodway,Anarchist Seeds Beneath the Snow is a 2006 book about anarchism and leftlibertarian thought in Britain written by David Goodway and published by PM Press,P800,Backwards
Friends of the Earth US,Washington DC,Washington DC,Friends of the Earth US is a nongovernmental environmental organization headquartered in Washington DC with an office in the David Brower Center in Berkeley California,P159,Forwards
National Institute for Public Health and the Environment,Netherlands,Dutch,The National Institute for Public Health and the Environment Dutch Rijksinstituut voor Volksgezondheid en Milieu or simply RIVM  is a Dutch research institute that is an independent agency of the Dutch Ministry of Health Welfare and Sport,P17,Forwards
Tom Hodgkinson,Simple living,approach,His philosophy in his published books and articles is of a relaxed approach to life enjoying it as it comes rather than toiling for an imagined better future,P135,Forwards
IJburg,Netherlands,Netherlands,IJburg is a residential neighbourhood under construction in Amsterdam Netherlands,P17,Forwards
Environmental philosophy,Natural environment,natural environment,Environmental philosophy is a branch of philosophy that is concerned with the natural environment and humans place within it,P2578,Forwards
Northern short grasslands,United States,American,The Northern short grasslands includes parts of the Canadian provinces of Alberta and Saskatchewan and the American Great Plains states of Montana North Dakota Wyoming South Dakota and Nebraska,P17,Forwards
S Club 7,Rachel Stevens,Rachel Stevens,S Club 7 were a British pop group from London in 1998 created by former Spice Girls manager Simon Fuller consisting of members Bradley McIntosh Hannah Spearritt Jo OMeara Jon Lee Paul Cattermole Rachel Stevens and Tina Barrett,P361,Backwards
Norfolk Island,Pacific Ocean,Pacific Ocean,Norfolk Island is the main island in a group comprising the Australian external territory of Norfolk Island situated in the Pacific Ocean between Australia and New Zealand approximately 692160km 430160mi south of New Caledonia,P706,Forwards
Climate,Meteorology,meteorological,Some of the meteorological variables that are commonly measured are temperature humidity atmospheric pressure wind and precipitation,P101,Forwards
History of Namibia,Namibia,Namibia,From 1884 Namibia was a German colony German South West Africa,P1269,Forwards
Diocesan College,South Africa,South Africa,The Diocesan College Colloquially known as Bishops as it is more commonly known is a private English medium boarding and day high school for boys situated in the suburb of Rondebosch in Cape Town in the Western Cape province of South Africa,P17,Forwards
Soil,Earth,Earth,Earths body of soil called the pedosphere has four important functions,P138,Backwards
Stratosphere,Troposphere,troposphere,The stratosphere ˈstrætəˌsfɪər toʊ is the second major layer of Earths atmosphere just above the troposphere and below the mesosphere,P156,Backwards
Ontario,Quebec,Quebec,Located in Central Canada it is Canadas most populous province with 383160percent of the countrys population and is the secondlargest province by total area after Quebec,P47,Forwards
London,United Kingdom,United Kingdom,London is the capital and largest city of England and the United Kingdom,P17,Forwards
Hero Certified Burgers,Toronto,Toronto,It is based in Toronto Ontario Canada and was founded in 2004,P159,Forwards
Rachel Stevens,S Club 7,S Club 7,In November 2014 S Club 7 announced plans for an arena reunion tour titled Bring It All Back 2015 touring the UK in May 2015,P527,Backwards
Estonia,Finland,Finland,It is bordered to the north by the Gulf of Finland across from Finland to the west by the Baltic Sea across from Sweden to the south by Latvia and to the east by Lake Peipus and Russia,P530,Forwards
Biogas,Renewable energy,renewable energy,Biogas is a renewable energy source,P279,Forwards
New Brunswick,Canada,Canada,In 1867 New Brunswick decided to confederate with Nova Scotia and the Province of Canada now Quebec and Ontario to form Canada,P150,Backwards
United Nations,SecretaryGeneral of the United Nations,SecretaryGeneral,The UNs chief administrative officer is the SecretaryGeneral currently Portuguese politician and diplomat António Guterres who began his five yearterm on 1 January 2017,P279,Backwards
Belgium,Netherlands,Netherlands,It is bordered by the Netherlands to the north Germany to the east Luxembourg to the southeast France to the southwest and the North Sea to the northwest,P47,Forwards
Central African Republic,United Nations,United Nations,The Central African Republic is a member of the United Nations the African Union the Economic Community of Central African States the Organisation internationale de la Francophonie and the NonAligned Movement,P463,Forwards
World Wide Fund for Nature,International nongovernmental organization,international nongovernmental organization,The World Wide Fund for Nature WWF is an international nongovernmental organization founded in 1961 that works in the field of wilderness preservation and the reduction of human impact on the environment,P31,Forwards
Latvia,European Union,European Union,    Anthem160Dievs svētī LatvijuGod Bless LatviaLocation of160Latvia160dark green–160in Europe160green amp160dark grey–160in the European Union160green160 –160 91Legend93Capitaland largest cityRiga56°57′N 24°6′Exfeff  xfeff56950°N 24100°Exfeff  56950 24100Official160languagesLatvianaEthnic160groups  2019625 Latvians247 Russians32 Belarusians22 Ukrainians19 Poles11 Lithuanians02 Roma02 Jews36 Others16032UnspecifiedReligion 800 Christianity—343 Lutheranism—251 Catholicism—169 Orthodoxy—37 Other Christian183 No religion17 OthersDemonymsLatvianGovernmentUnitary parliamentary constitutional republic•160President Egils Levits•160Prime Minister Krišjānis Kariņš•160Speaker of the Saeima Ināra Mūrniece,P150,Backwards
United Nations Conference on Sustainable Development,Earth Summit 2002,World Summit on Sustainable Development,Hosted by Brazil in Rio de Janeiro from 13 to 22 June 2012 Rio20 was a 20year followup to the 1992 United Nations Conference on Environment and Development UNCED held in the same city and the 10th anniversary of the 2002 World Summit on Sustainable Development WSSD in Johannesburg,P155,Forwards
Geography of Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina is located in Southeastern Europe in the western Balkans,P17,Forwards
TransPacific Partnership,Singapore,Singapore,The  TransPacific Partnership TPP or TransPacific Partnership Agreement was a proposed trade agreement between Australia Brunei Canada Chile Japan Malaysia Mexico New Zealand Peru Singapore Vietnam and the United States signed on 4 February 2016,P1891,Forwards
Politics of climate change,Climate change,Climate change,Climate change is a complex global problem,P921,Forwards
Heidi Hautala,Finland,Finland,Heidi Anneli Hautala born 14 November 1955 is a Finnish politician and Member of the European Parliament MEP from Finland,P27,Forwards
Tanzania,Kenya,Kenya,It borders Uganda to the north Kenya to the northeast Comoro Islands and the Indian Ocean to the east Mozambique and Malawi to the south Zambia to the southwest and Rwanda Burundi and the Democratic Republic of the Congo to the west,P530,Forwards
Bhutan,Japan,Japan,It has since expanded relations with 55 countries including Bangladesh Israel Kuwait Brazil Japan Thailand and Turkey as well as the European Union,P530,Forwards
Denmark,Sweden,Sweden,Denmark lies southwest of Sweden and south of Norway91N 1293 and is bordered to the south by Germany,P530,Forwards
Croatia,European Union,European Union,It is a member of the European Union the United Nations the Council of Europe NATO the World Trade Organization and a founding member of the Union for the Mediterranean,P527,Backwards
Atlantic dry forests,Ecoregion,ecoregion,The Atlantic dry forests are a tropical dry forest ecoregion of the Atlantic Forest Biome located in eastern Brazil,P31,Forwards
Storm,Severe weather,severe weather,A storm is any disturbed state of an environment or in an astronomical bodys atmosphere especially affecting its surface and strongly implying severe weather,P279,Backwards
Western Australia,Australia,Australia,Western Australia abbreviated as WA is a state occupying the western 329 percent of the land area of Australia excluding external territories,P150,Backwards
Council House 2,City of Melbourne,City of Melbourne,It is used by the City of Melbourne council and in April 2005 became the first purposebuilt office building in Australia to achieve a maximum Six Green Star rating certified by the Green Building Council of Australia,P127,Forwards
Uganda,Kenya,Kenya,It is bordered to the east by Kenya to the north by South Sudan to the west by the Democratic Republic of the Congo to the southwest by Rwanda and to the south by Tanzania,P530,Backwards
United Nations General Assembly,United Nations General Assembly resolution,Resolution,President16018332Member countriesRepresentatives16018332Resolution16018332Groups,P467,Backwards
Bettina Boxall,United States,American,October 2020citation needed93 is an American journalist who covers water issues and the environment for the Los Angeles Times,P27,Forwards
Austria,European Union,European Union,  There is an official dictionary the Österreichisches Wörterbuch published on commission by the Austrian Ministry of Education  Croatian Czech Hungarian Romani Slovak and Slovene are officially recognised by the European Charter for Regional or Minority Languages ECRML  Austrian schilling before 1999 Virtual Euro since 1 January 1999 Euro since 1 January 2002  The eu domain is also used as it is shared with other European Union member states,P463,Forwards
Washington DC,International Finance Corporation,International Finance Corporation,The city hosts 177 foreign embassies as well as the headquarters of many international organizations trade unions nonprofits lobbying groups and professional associations including the World Bank Group the International Monetary Fund the Organization of American States the AARP the National Geographic Society the Human Rights Campaign the International Finance Corporation and the American Red Cross,P159,Backwards
Education in the Dominican Republic,Education,education,In the Dominican Republic education is free and compulsory at the elementary level and free but nonmandatory at the secondary level,P1269,Forwards
Soil,Soil science,Soil science,Soil science has two basic branches of study edaphology and pedology,P2578,Backwards
Andorra,Euro,euro,Andorra is not a member state of the European Union but the euro is its official currency,P38,Forwards
Cape Verde,Atlantic Ocean,Atlantic Ocean,Cape Verde ˈvɜːrdi32listen or Cabo Verde ˌkɑːboʊ ˈvɜːrdeɪ32listen ˌkæb Portuguese Cabo Verde pronounced160ˈkabu ˈveɾdɨ officially the Republic of Cabo Verde is an archipelago and island country in the central Atlantic Ocean consisting of ten volcanic islands with a combined land area of about 4033 square kilometres 1557160sq160mi,P205,Backwards
Economics,Consumption economics,consumption,Economics ˌiːkəˈnɒmɪks ˌɛkə is the social science that studies how people interact with value in particular the production distribution and consumption of goods and services,P1269,Backwards
Gifford Pinchot,United States Forest Service,United States Forest Service,Division of Forestry as the 1st head of the United States Forest Service and as the 28th Governor of Pennsylvania,P112,Backwards
Sun Myung Moon,South Korea,South Korean,Businesses he promoted included News World Communications an international news media corporation known for its American subsidiary The Washington Times and Tongil Group a South Korean business group chaebol as well as other related organizations,P27,Forwards
Joint Forest Management,India,India,Joint Forest Management often abbreviated as JFM is the official and popular term in India for partnerships in forest movement involving both the state forest departments and local communities,P17,Forwards
Quebec,Newfoundland and Labrador,Newfoundland and Labrador,Located in Central Canada the province shares land borders with Ontario to the southwest Newfoundland and Labrador to the northeast New Brunswick to the southeast and a coastal border with Nunavut it also borders the a hrefwikiUSstate titleUS,P47,Forwards
Northeast India,India,India,Northeast India officially North Eastern Region NER is the easternmost region of India representing both a geographic and political administrative division of the country,P17,Forwards
Sustainable Development Goals,Sustainable Development Goal 12,Responsible Consumption and Production,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P527,Forwards
